,Area,Smart Phone,Multiple Devices,Wifi,Electricity Problem,Online/Offline
1476,Town,no,yes,no,no,Offline
1477,Village,yes,yes,yes,yes,Online
1478,Town,no,no,no,yes,Online
1479,Town,no,no,yes,yes,Online
1480,Town,yes,no,yes,no,Offline
1481,Town,no,no,yes,no,Offline
1482,Town,yes,yes,yes,no,Offline
1483,Village,yes,no,no,yes,Online
1484,Town,yes,yes,no,no,Offline
1485,Village,no,no,yes,no,Online
1486,Town,yes,no,no,no,Offline
1487,Village,no,yes,no,no,Offline
1488,Town,yes,yes,yes,no,Online
1489,Village,yes,yes,yes,no,Offline
1490,Village,no,no,no,yes,Online
1491,Village,yes,yes,no,no,Offline
1492,Town,no,yes,yes,yes,Online
1493,Town,yes,yes,yes,yes,Online
1494,Town,no,no,no,yes,Offline
1495,Village,no,yes,yes,no,Online
1496,Town,yes,no,yes,yes,Offline
1497,Town,yes,yes,yes,yes,Online
1498,Town,no,no,no,yes,Offline
1499,Town,no,yes,no,yes,Online
1500,Town,yes,no,yes,yes,Online
1501,Town,yes,no,no,yes,Online
1502,Town,no,no,no,yes,Online
1503,Town,yes,yes,yes,no,Offline
1504,Village,no,yes,no,no,Offline
1505,Town,yes,no,yes,yes,Online
1506,Village,yes,no,no,yes,Offline
1507,Village,yes,yes,no,no,Online
1508,Village,no,yes,no,yes,Offline
1509,Village,yes,no,no,no,Offline
1510,Village,yes,yes,yes,no,Online
1511,Village,no,no,yes,no,Online
1512,Town,yes,no,yes,yes,Offline
1513,Town,no,yes,no,no,Offline
1514,Village,yes,no,yes,yes,Offline
1515,Town,no,yes,yes,yes,Offline
1516,Town,yes,no,no,no,Online
1517,Village,yes,yes,yes,yes,Offline
1518,Village,yes,yes,no,no,Online
1519,Village,yes,no,no,no,Offline
1520,Village,no,no,no,no,Offline
1521,Village,no,yes,no,no,Online
1522,Village,no,no,no,no,Online
1523,Village,yes,yes,yes,no,Offline
1524,Village,no,yes,yes,yes,Online
1525,Town,no,no,yes,yes,Offline
1526,Town,no,no,no,yes,Offline
1527,Village,no,yes,yes,yes,Offline
1528,Town,no,no,yes,yes,Offline
1529,Town,yes,no,yes,yes,Offline
1530,Town,yes,no,yes,no,Offline
1531,Town,no,yes,no,no,Offline
1532,Village,no,yes,yes,yes,Offline
1533,Village,no,yes,yes,yes,Online
1534,Village,yes,yes,no,yes,Online
1535,Town,yes,no,no,yes,Online
1536,Village,no,no,no,no,Online
1537,Village,no,no,yes,yes,Online
1538,Village,yes,no,yes,no,Online
1539,Town,yes,yes,no,yes,Online
1540,Village,no,yes,no,no,Offline
1541,Village,no,yes,no,no,Offline
1542,Village,yes,yes,yes,no,Online
1543,Village,yes,no,yes,no,Offline
1544,Village,yes,yes,no,no,Offline
1545,Village,yes,no,no,no,Offline
1546,Village,no,yes,no,yes,Online
1547,Town,yes,yes,no,yes,Offline
1548,Town,yes,no,yes,no,Offline
1549,Village,no,yes,no,yes,Offline
1550,Town,no,no,yes,yes,Offline
1551,Town,yes,yes,yes,no,Online
1552,Village,yes,yes,yes,no,Online
1553,Town,yes,yes,no,no,Offline
1554,Town,no,no,no,yes,Offline
1555,Town,yes,yes,yes,no,Online
1556,Village,no,yes,no,no,Online
1557,Village,no,yes,no,yes,Online
1558,Town,yes,no,yes,no,Online
1559,Town,yes,no,yes,yes,Online
1560,Village,no,no,yes,no,Offline
1561,Village,yes,no,no,no,Online
1562,Town,no,no,yes,yes,Offline
1563,Town,yes,yes,no,no,Online
1564,Village,no,no,yes,no,Offline
1565,Town,no,yes,yes,no,Offline
1566,Village,yes,yes,no,yes,Offline
1567,Town,no,no,yes,no,Online
1568,Town,no,no,yes,yes,Offline
1569,Village,yes,yes,no,no,Online
1570,Village,no,no,no,yes,Online
1571,Town,yes,yes,no,no,Online
1572,Village,no,no,yes,no,Online
1573,Village,yes,no,no,yes,Offline
1574,Village,no,yes,yes,yes,Offline
1575,Town,yes,yes,yes,no,Offline
1576,Town,yes,no,no,no,Offline
1577,Town,yes,yes,yes,yes,Online
1578,Town,no,yes,yes,no,Offline
1579,Town,yes,yes,no,yes,Online
1580,Town,no,no,no,no,Online
1581,Town,yes,no,yes,no,Offline
1582,Town,no,yes,no,no,Online
1583,Village,yes,yes,yes,yes,Online
1584,Town,no,yes,yes,no,Offline
1585,Town,yes,yes,yes,no,Offline
1586,Town,no,yes,yes,yes,Online
1587,Village,yes,yes,yes,no,Online
1588,Village,yes,yes,yes,no,Offline
1589,Town,yes,yes,yes,yes,Offline
1590,Village,no,no,yes,no,Offline
1591,Village,yes,no,no,no,Online
1592,Town,yes,yes,yes,yes,Online
1593,Town,yes,yes,yes,yes,Offline
1594,Village,yes,no,yes,no,Online
1595,Village,yes,no,yes,yes,Offline
1596,Town,yes,no,no,no,Online
1597,Town,no,no,no,no,Online
1598,Village,no,yes,no,no,Online
1599,Town,no,no,no,no,Offline
1600,Town,yes,yes,no,yes,Online
1601,Town,yes,yes,no,yes,Online
1602,Village,no,yes,no,yes,Offline
1603,Town,no,yes,yes,yes,Offline
1604,Town,no,yes,yes,no,Online
1605,Town,yes,no,no,yes,Offline
1606,Village,yes,no,no,no,Offline
1607,Village,no,no,no,yes,Online
1608,Town,no,no,no,no,Offline
1609,Town,yes,yes,no,yes,Offline
1610,Town,no,no,yes,yes,Online
1611,Town,yes,yes,no,yes,Online
1612,Town,yes,no,yes,no,Offline
1613,Village,no,no,yes,no,Online
1614,Town,no,no,yes,yes,Offline
1615,Town,yes,no,yes,no,Online
1616,Town,no,no,yes,no,Online
1617,Town,no,no,yes,no,Online
1618,Town,yes,yes,yes,no,Online
1619,Town,no,yes,yes,yes,Online
1620,Town,no,no,no,no,Offline
1621,Village,no,yes,yes,yes,Online
1622,Town,no,yes,yes,no,Online
1623,Village,no,no,yes,yes,Online
1624,Village,no,yes,no,no,Online
1625,Village,no,no,no,yes,Offline
1626,Village,yes,no,yes,no,Online
1627,Town,no,no,yes,no,Online
1628,Town,no,yes,no,yes,Online
1629,Town,no,no,no,no,Online
1630,Village,no,yes,yes,no,Online
1631,Village,no,no,no,no,Online
1632,Village,no,yes,no,yes,Offline
1633,Village,yes,no,yes,no,Offline
1634,Town,no,no,yes,no,Online
1635,Village,yes,no,yes,no,Online
1636,Town,no,yes,no,no,Offline
1637,Town,yes,no,no,yes,Online
1638,Town,no,yes,yes,no,Offline
1639,Village,yes,no,no,no,Offline
1640,Village,yes,no,yes,no,Online
1641,Town,no,no,yes,no,Offline
1642,Village,no,yes,yes,yes,Offline
1643,Village,no,no,yes,yes,Online
1644,Town,yes,yes,no,yes,Online
1645,Town,yes,yes,no,yes,Online
1646,Town,no,no,no,yes,Offline
1647,Town,no,yes,yes,no,Online
1648,Town,no,no,no,yes,Offline
1649,Village,yes,yes,yes,no,Offline
1650,Village,no,no,no,yes,Offline
1651,Village,yes,yes,yes,no,Online
1652,Village,no,no,no,no,Online
1653,Village,yes,no,yes,no,Offline
1654,Town,no,yes,no,no,Offline
1655,Village,yes,no,yes,yes,Online
1656,Town,yes,yes,yes,no,Offline
1657,Town,yes,no,no,no,Offline
1658,Village,no,yes,yes,yes,Offline
1659,Village,no,no,yes,yes,Offline
1660,Town,no,yes,yes,no,Online
1661,Village,yes,yes,no,yes,Online
1662,Town,yes,yes,no,yes,Offline
1663,Town,no,yes,no,no,Offline
1664,Village,yes,no,no,no,Offline
1665,Village,no,yes,yes,no,Offline
1666,Village,yes,yes,yes,yes,Online
1667,Town,no,yes,yes,yes,Offline
1668,Town,yes,no,yes,yes,Offline
1669,Town,yes,no,yes,yes,Online
1670,Town,yes,yes,no,no,Offline
1671,Town,yes,yes,no,no,Online
1672,Town,no,yes,yes,yes,Offline
1673,Village,yes,no,yes,no,Offline
1674,Village,no,yes,yes,yes,Offline
1675,Village,no,no,yes,no,Online
1676,Village,no,no,no,yes,Online
1677,Town,yes,yes,yes,yes,Online
1678,Town,no,no,yes,yes,Online
1679,Town,yes,yes,no,yes,Offline
1680,Town,no,yes,no,no,Online
1681,Village,no,yes,no,yes,Online
1682,Town,yes,no,yes,no,Offline
1683,Town,no,yes,no,yes,Offline
1684,Village,no,yes,yes,yes,Offline
1685,Town,no,yes,yes,no,Online
1686,Town,no,no,yes,yes,Online
1687,Village,yes,no,no,yes,Offline
1688,Village,yes,no,yes,no,Offline
1689,Village,no,no,no,yes,Offline
1690,Village,no,no,no,no,Offline
1691,Village,no,yes,no,yes,Offline
1692,Village,no,no,yes,yes,Online
1693,Village,yes,no,yes,yes,Offline
1694,Town,yes,yes,no,no,Offline
1695,Town,yes,no,no,no,Online
1696,Village,no,yes,yes,yes,Online
1697,Village,no,yes,yes,no,Online
1698,Village,no,no,yes,yes,Online
1699,Town,yes,yes,no,yes,Online
1700,Village,yes,no,no,no,Offline
1701,Village,no,yes,yes,no,Offline
1702,Town,yes,yes,no,no,Offline
1703,Town,yes,yes,yes,no,Online
1704,Town,yes,yes,yes,yes,Offline
1705,Town,yes,no,yes,yes,Online
1706,Village,yes,no,yes,no,Offline
1707,Town,yes,no,no,no,Offline
1708,Town,no,no,no,no,Online
1709,Village,no,no,no,no,Offline
1710,Town,no,no,no,no,Offline
1711,Town,yes,yes,no,no,Online
1712,Town,yes,yes,yes,yes,Offline
1713,Town,no,no,no,yes,Offline
1714,Village,yes,no,no,yes,Offline
1715,Village,yes,no,no,no,Online
1716,Town,yes,no,no,yes,Offline
1717,Village,yes,no,yes,yes,Offline
1718,Town,yes,no,no,yes,Online
1719,Village,no,yes,no,no,Online
1720,Town,no,yes,yes,yes,Offline
1721,Village,yes,yes,yes,no,Offline
1722,Town,no,yes,no,yes,Offline
1723,Town,yes,yes,no,no,Offline
1724,Village,yes,no,no,no,Offline
1725,Village,yes,yes,yes,no,Online
1726,Village,no,no,yes,yes,Online
1727,Village,no,yes,yes,no,Offline
1728,Town,no,no,no,no,Offline
1729,Town,no,yes,no,no,Offline
1730,Village,yes,no,yes,no,Offline
1731,Town,no,no,yes,no,Online
1732,Town,no,yes,yes,no,Offline
1733,Town,yes,yes,no,yes,Online
1734,Village,no,yes,no,yes,Offline
1735,Village,no,no,yes,yes,Offline
1736,Town,no,no,yes,yes,Offline
1737,Town,yes,yes,yes,no,Offline
1738,Village,yes,yes,yes,no,Offline
1739,Village,yes,yes,no,yes,Offline
1740,Town,yes,no,no,no,Online
1741,Town,no,yes,no,yes,Offline
1742,Town,yes,no,yes,no,Online
1743,Village,no,no,yes,no,Online
1744,Town,no,no,yes,yes,Offline
1745,Town,no,no,yes,no,Offline
1746,Town,yes,no,yes,no,Offline
1747,Village,no,no,yes,yes,Offline
1748,Village,no,yes,yes,yes,Offline
1749,Town,no,yes,yes,no,Offline
1750,Village,yes,yes,no,no,Offline
1751,Town,yes,no,yes,no,Online
1752,Town,no,yes,yes,no,Offline
1753,Village,yes,yes,no,yes,Offline
1754,Village,yes,no,yes,no,Offline
1755,Village,yes,yes,no,no,Online
1756,Village,no,yes,yes,no,Online
1757,Town,yes,yes,no,yes,Offline
1758,Town,no,yes,yes,yes,Offline
1759,Village,yes,yes,no,yes,Online
1760,Town,no,no,yes,no,Offline
1761,Village,yes,yes,no,no,Online
1762,Village,yes,yes,yes,no,Online
1763,Village,yes,yes,no,yes,Offline
1764,Village,yes,yes,yes,yes,Online
1765,Town,no,yes,no,no,Online
1766,Town,yes,yes,no,yes,Online
1767,Village,yes,yes,no,no,Online
1768,Town,no,no,no,yes,Online
1769,Village,yes,yes,no,no,Offline
1770,Town,no,no,yes,yes,Offline
1771,Town,yes,yes,no,yes,Online
1772,Village,no,no,yes,no,Online
1773,Village,no,yes,no,yes,Offline
1774,Village,no,no,yes,no,Online
1775,Town,yes,yes,no,no,Online
1776,Town,yes,no,no,yes,Online
1777,Village,no,yes,no,no,Offline
1778,Town,yes,no,no,yes,Offline
1779,Village,yes,yes,no,yes,Online
1780,Town,no,no,no,yes,Online
1781,Town,yes,yes,yes,no,Online
1782,Village,yes,yes,yes,no,Online
1783,Town,no,no,yes,no,Online
1784,Village,no,no,yes,no,Offline
1785,Town,yes,no,no,yes,Offline
1786,Town,no,yes,no,no,Offline
1787,Town,no,no,yes,no,Offline
1788,Village,no,yes,yes,no,Online
1789,Village,no,yes,yes,no,Online
1790,Town,no,yes,yes,no,Online
1791,Town,no,no,no,no,Online
1792,Village,no,yes,yes,no,Online
1793,Village,yes,yes,yes,no,Offline
1794,Town,no,yes,no,no,Online
1795,Village,no,yes,yes,yes,Online
1796,Town,no,no,yes,no,Offline
1797,Village,yes,yes,yes,yes,Offline
1798,Town,yes,no,yes,no,Online
1799,Village,yes,yes,yes,no,Offline
1800,Town,yes,no,yes,yes,Online
1801,Village,no,no,yes,no,Online
1802,Town,yes,yes,no,no,Online
1803,Town,yes,no,no,no,Offline
1804,Town,yes,no,yes,no,Online
1805,Village,yes,yes,no,yes,Offline
1806,Village,no,no,no,yes,Online
1807,Village,no,no,no,yes,Online
1808,Village,yes,no,yes,no,Offline
1809,Town,no,yes,no,no,Offline
1810,Village,no,yes,yes,yes,Online
1811,Town,yes,no,yes,yes,Online
1812,Town,yes,no,yes,yes,Offline
1813,Village,no,yes,yes,no,Offline
1814,Village,no,yes,no,no,Online
1815,Town,yes,no,no,yes,Offline
1816,Town,yes,yes,yes,no,Offline
1817,Town,yes,yes,yes,no,Offline
1818,Town,no,no,no,yes,Online
1819,Village,no,yes,no,yes,Online
1820,Village,no,no,no,no,Offline
1821,Town,no,no,no,yes,Offline
1822,Village,yes,no,yes,no,Online
1823,Village,no,no,no,no,Offline
1824,Village,yes,no,yes,no,Offline
1825,Village,no,no,no,yes,Offline
1826,Village,no,no,yes,no,Offline
1827,Village,yes,no,yes,yes,Online
1828,Town,no,no,no,no,Online
1829,Town,no,no,no,yes,Offline
1830,Town,no,yes,no,yes,Offline
1831,Village,yes,yes,yes,yes,Offline
1832,Village,yes,no,no,no,Offline
1833,Town,no,no,no,no,Online
1834,Town,no,no,yes,yes,Offline
1835,Town,yes,yes,no,yes,Offline
1836,Town,yes,no,no,no,Offline
1837,Town,yes,no,no,yes,Online
1838,Village,yes,no,no,yes,Online
1839,Town,yes,yes,no,yes,Online
1840,Village,no,yes,yes,no,Online
1841,Village,yes,yes,yes,no,Offline
1842,Town,yes,yes,yes,yes,Online
1843,Village,no,no,yes,no,Offline
1844,Town,no,no,no,yes,Offline
1845,Village,no,no,no,yes,Offline
1846,Village,yes,no,yes,no,Online
1847,Town,no,no,no,yes,Online
1848,Town,yes,yes,yes,yes,Offline
1849,Village,yes,yes,yes,yes,Online
1850,Town,yes,yes,no,yes,Offline
1851,Village,yes,no,yes,no,Offline
1852,Village,no,no,no,yes,Online
1853,Town,no,no,yes,yes,Offline
1854,Village,yes,no,yes,no,Offline
1855,Village,no,no,yes,yes,Offline
1856,Town,yes,no,no,yes,Online
1857,Village,no,no,no,yes,Online
1858,Town,yes,yes,yes,yes,Offline
1859,Village,yes,no,yes,no,Offline
1860,Village,yes,yes,yes,no,Offline
1861,Village,yes,no,no,no,Offline
1862,Village,no,yes,no,no,Online
1863,Village,no,yes,no,no,Offline
1864,Town,yes,yes,no,yes,Offline
1865,Town,no,no,yes,no,Online
1866,Village,yes,no,yes,no,Offline
1867,Village,yes,no,no,yes,Online
1868,Town,yes,yes,yes,yes,Offline
1869,Village,yes,no,no,yes,Offline
1870,Town,no,no,no,no,Offline
1871,Village,yes,no,yes,no,Online
1872,Village,no,yes,no,no,Offline
1873,Town,yes,yes,yes,no,Offline
1874,Village,yes,no,yes,yes,Offline
1875,Village,no,yes,no,no,Offline
1876,Town,no,yes,yes,no,Online
1877,Town,yes,no,no,no,Offline
1878,Village,no,no,yes,no,Online
1879,Village,no,no,no,no,Online
1880,Village,no,no,yes,no,Offline
1881,Village,no,yes,yes,no,Offline
1882,Town,yes,yes,yes,no,Online
1883,Village,yes,no,yes,yes,Offline
1884,Town,yes,yes,no,yes,Offline
1885,Town,no,no,yes,no,Online
1886,Village,no,yes,no,no,Offline
1887,Town,no,no,no,yes,Offline
1888,Village,yes,yes,no,no,Offline
1889,Village,yes,no,no,yes,Online
1890,Village,yes,no,no,yes,Online
1891,Town,no,yes,yes,yes,Offline
1892,Village,no,yes,yes,yes,Online
1893,Town,yes,yes,no,no,Online
1894,Village,no,yes,no,yes,Offline
1895,Village,no,no,yes,no,Online
1896,Village,yes,yes,yes,yes,Online
1897,Village,yes,no,yes,no,Offline
1898,Village,yes,yes,no,no,Offline
1899,Village,no,yes,yes,yes,Offline
1900,Town,yes,no,yes,yes,Offline
1901,Village,yes,no,yes,yes,Offline
1902,Village,no,yes,yes,no,Offline
1903,Village,yes,yes,no,no,Online
1904,Town,no,yes,yes,yes,Online
1905,Village,yes,no,yes,yes,Offline
1906,Village,no,no,no,no,Offline
1907,Village,no,yes,no,no,Offline
1908,Village,yes,yes,no,yes,Offline
1909,Town,yes,yes,yes,no,Offline
1910,Village,yes,yes,no,no,Online
1911,Town,no,no,yes,yes,Offline
1912,Town,yes,no,no,yes,Online
1913,Village,no,yes,yes,yes,Online
1914,Town,yes,yes,no,yes,Offline
1915,Town,no,no,yes,yes,Offline
1916,Town,yes,no,yes,yes,Online
1917,Town,yes,no,yes,no,Online
1918,Town,yes,no,yes,no,Online
1919,Village,no,no,no,no,Online
1920,Town,yes,yes,yes,yes,Offline
1921,Town,yes,yes,yes,no,Online
1922,Town,no,yes,yes,no,Online
1923,Town,no,yes,yes,no,Offline
1924,Village,no,yes,no,no,Online
1925,Village,no,yes,no,no,Offline
1926,Village,yes,no,no,no,Online
1927,Town,yes,no,yes,yes,Online
1928,Village,yes,yes,yes,yes,Offline
1929,Village,no,yes,no,yes,Online
1930,Town,no,yes,no,yes,Offline
1931,Town,yes,no,no,yes,Online
1932,Town,yes,no,yes,no,Offline
1933,Town,yes,no,no,no,Online
1934,Village,no,no,yes,no,Online
1935,Village,no,yes,no,no,Offline
1936,Town,no,yes,yes,yes,Online
1937,Village,no,yes,yes,no,Offline
1938,Town,no,yes,yes,yes,Offline
1939,Town,yes,no,no,no,Offline
1940,Town,yes,yes,no,yes,Online
1941,Village,yes,no,no,no,Online
1942,Town,no,no,yes,no,Offline
1943,Town,yes,no,yes,yes,Offline
1944,Village,yes,yes,no,yes,Online
1945,Village,yes,no,yes,no,Online
1946,Town,yes,yes,yes,yes,Offline
1947,Village,yes,no,no,no,Offline
1948,Village,no,no,yes,yes,Online
1949,Town,yes,no,yes,no,Offline
1950,Village,yes,yes,yes,no,Online
1951,Village,no,yes,yes,no,Online
1952,Town,no,no,no,yes,Offline
1953,Village,yes,yes,yes,yes,Online
1954,Town,no,yes,yes,yes,Online
1955,Town,yes,no,no,yes,Online
1956,Village,yes,no,no,yes,Online
1957,Village,yes,yes,yes,no,Online
1958,Village,yes,no,no,yes,Online
1959,Village,no,no,no,no,Offline
1960,Town,yes,yes,no,no,Online
1961,Village,yes,yes,no,no,Online
1962,Village,no,yes,yes,no,Offline
1963,Village,yes,no,no,yes,Online
1964,Village,yes,yes,yes,no,Online
1965,Town,no,yes,yes,no,Offline
1966,Town,yes,yes,yes,no,Offline
1967,Town,yes,yes,no,no,Online
1968,Town,no,no,yes,no,Offline
1969,Town,yes,no,yes,yes,Offline
1970,Town,yes,no,yes,yes,Offline
1971,Village,yes,no,yes,no,Online
1972,Town,no,no,yes,no,Online
1973,Village,no,no,yes,no,Offline
1974,Town,yes,yes,yes,no,Offline
1975,Village,yes,no,yes,no,Offline
1976,Village,no,yes,yes,yes,Online
1977,Town,no,yes,yes,yes,Offline
1978,Village,no,no,no,yes,Online
1979,Village,no,yes,no,yes,Offline
1980,Village,yes,yes,yes,yes,Offline
1981,Town,no,yes,no,yes,Offline
1982,Village,no,yes,no,yes,Offline
1983,Town,yes,yes,yes,no,Online
1984,Town,yes,no,yes,no,Online
1985,Village,no,yes,no,no,Online
1986,Town,no,no,yes,yes,Online
1987,Town,yes,no,no,yes,Offline
1988,Town,yes,no,no,no,Online
1989,Village,no,no,yes,yes,Online
1990,Village,yes,yes,yes,no,Offline
1991,Town,no,no,no,no,Offline
1992,Town,no,yes,no,yes,Offline
1993,Town,no,yes,yes,yes,Online
1994,Town,no,yes,yes,no,Offline
1995,Village,no,yes,no,no,Offline
1996,Village,no,yes,no,yes,Offline
1997,Village,yes,yes,yes,no,Online
1998,Village,no,yes,no,yes,Online
1999,Town,no,yes,no,no,Online
2000,Village,no,yes,no,no,Online
2001,Town,yes,yes,yes,yes,Online
2002,Village,yes,yes,yes,yes,Online
2003,Town,yes,no,no,no,Online
2004,Town,no,no,yes,yes,Online
2005,Village,yes,yes,no,no,Offline
2006,Town,yes,yes,yes,no,Offline
2007,Town,no,yes,yes,yes,Offline
2008,Town,yes,no,yes,no,Online
2009,Town,yes,yes,no,no,Online
2010,Village,yes,no,no,yes,Offline
2011,Village,yes,yes,no,yes,Online
2012,Town,no,yes,no,yes,Online
2013,Town,yes,yes,yes,yes,Online
2014,Town,yes,no,no,no,Offline
2015,Village,yes,yes,yes,yes,Offline
2016,Village,no,yes,yes,yes,Online
2017,Village,yes,no,no,no,Online
2018,Town,no,no,yes,no,Online
2019,Town,no,no,no,no,Offline
2020,Town,yes,yes,yes,yes,Online
2021,Town,yes,no,no,yes,Online
2022,Village,no,no,no,no,Offline
2023,Town,no,yes,yes,yes,Online
2024,Village,no,no,no,no,Online
2025,Town,yes,no,no,yes,Online
2026,Village,yes,yes,no,no,Online
2027,Town,yes,no,yes,no,Online
2028,Town,yes,no,yes,yes,Offline
2029,Village,yes,yes,yes,no,Online
2030,Village,no,yes,no,yes,Offline
2031,Town,no,no,yes,yes,Offline
2032,Village,no,no,no,no,Offline
2033,Town,yes,yes,yes,yes,Online
2034,Town,no,yes,no,no,Online
2035,Village,no,yes,yes,no,Online
2036,Town,no,no,yes,yes,Online
2037,Village,no,no,yes,yes,Online
2038,Town,yes,yes,no,no,Offline
2039,Town,no,no,no,no,Online
2040,Village,yes,no,yes,no,Online
2041,Village,yes,no,no,no,Offline
2042,Village,no,no,no,yes,Offline
2043,Town,yes,yes,no,yes,Offline
2044,Town,no,yes,yes,yes,Offline
2045,Town,no,no,no,no,Online
2046,Town,no,yes,no,yes,Online
2047,Town,yes,yes,yes,yes,Online
2048,Town,yes,no,yes,yes,Online
2049,Village,yes,no,no,yes,Offline
2050,Village,no,yes,no,no,Offline
2051,Town,yes,no,yes,yes,Offline
2052,Town,no,yes,yes,yes,Online
2053,Village,no,yes,no,yes,Online
2054,Town,yes,yes,no,yes,Offline
2055,Village,no,yes,no,yes,Online
2056,Village,no,yes,yes,yes,Offline
2057,Village,yes,no,no,yes,Offline
2058,Village,yes,yes,yes,yes,Online
2059,Village,no,yes,yes,no,Offline
2060,Town,no,yes,no,yes,Online
2061,Village,yes,no,no,no,Online
2062,Town,no,yes,yes,no,Offline
2063,Village,no,yes,yes,yes,Offline
2064,Village,yes,yes,no,no,Online
2065,Town,no,yes,no,no,Offline
2066,Village,no,no,no,yes,Offline
2067,Village,yes,no,yes,yes,Offline
2068,Village,no,yes,yes,no,Offline
2069,Town,yes,no,yes,yes,Offline
2070,Town,yes,yes,no,yes,Online
2071,Village,no,no,yes,yes,Offline
2072,Town,no,no,yes,yes,Offline
2073,Village,yes,yes,yes,yes,Offline
2074,Village,yes,yes,yes,no,Online
2075,Village,yes,no,no,no,Online
2076,Village,yes,yes,yes,yes,Online
2077,Town,no,yes,yes,yes,Offline
2078,Village,yes,no,no,yes,Offline
2079,Town,yes,yes,yes,yes,Online
2080,Village,yes,yes,no,yes,Online
2081,Village,no,no,no,yes,Online
2082,Town,no,yes,yes,no,Offline
2083,Town,no,yes,yes,no,Offline
2084,Village,no,no,yes,yes,Online
2085,Village,yes,no,no,yes,Online
2086,Town,no,yes,no,no,Offline
2087,Town,yes,no,no,no,Online
2088,Village,yes,yes,no,yes,Online
2089,Village,yes,no,yes,no,Online
2090,Village,no,yes,yes,no,Offline
2091,Village,no,yes,yes,no,Online
2092,Village,no,no,yes,yes,Offline
2093,Village,no,no,yes,yes,Offline
2094,Town,no,no,yes,yes,Offline
2095,Town,no,yes,yes,no,Offline
2096,Town,yes,no,yes,no,Offline
2097,Town,no,no,yes,yes,Online
2098,Town,yes,no,no,no,Offline
2099,Village,no,no,yes,no,Online
2100,Town,no,yes,no,no,Online
2101,Village,no,yes,no,no,Online
2102,Town,yes,no,no,no,Online
2103,Village,no,no,yes,yes,Online
2104,Village,yes,no,no,yes,Online
2105,Village,no,yes,no,yes,Offline
2106,Town,no,yes,yes,no,Offline
2107,Village,yes,no,yes,yes,Online
2108,Town,yes,yes,no,yes,Online
2109,Village,yes,no,yes,no,Online
2110,Village,no,no,no,no,Online
2111,Town,no,yes,no,no,Online
2112,Village,yes,no,yes,yes,Offline
2113,Village,yes,yes,yes,yes,Offline
2114,Town,yes,no,yes,no,Offline
2115,Town,no,no,yes,yes,Offline
2116,Town,no,yes,yes,yes,Online
2117,Town,yes,yes,yes,yes,Offline
2118,Village,yes,yes,yes,yes,Online
2119,Village,yes,yes,yes,yes,Offline
2120,Village,no,no,no,yes,Online
2121,Town,no,yes,no,yes,Offline
2122,Town,yes,yes,yes,yes,Offline
2123,Village,yes,yes,yes,no,Offline
2124,Town,no,yes,no,yes,Offline
2125,Town,no,yes,yes,yes,Online
2126,Town,yes,yes,yes,no,Online
2127,Town,no,no,no,no,Offline
2128,Village,no,yes,no,no,Online
2129,Town,no,yes,yes,no,Offline
2130,Town,yes,yes,yes,no,Offline
2131,Village,no,no,no,yes,Offline
2132,Village,yes,no,no,no,Online
2133,Village,yes,no,no,yes,Offline
2134,Town,yes,no,yes,yes,Offline
2135,Town,no,no,no,yes,Online
2136,Village,yes,no,no,yes,Offline
2137,Village,yes,yes,no,yes,Online
2138,Town,yes,no,no,no,Offline
2139,Village,yes,yes,no,no,Online
2140,Village,yes,yes,no,yes,Offline
2141,Town,yes,yes,no,no,Offline
2142,Village,no,no,no,no,Online
2143,Town,yes,yes,yes,yes,Offline
2144,Town,no,yes,no,yes,Online
2145,Village,no,yes,no,yes,Online
2146,Town,yes,no,no,yes,Offline
2147,Village,no,no,no,yes,Offline
2148,Village,no,no,yes,no,Offline
2149,Town,yes,no,yes,yes,Offline
2150,Town,no,no,yes,yes,Online
2151,Village,no,yes,yes,no,Online
2152,Village,no,yes,yes,yes,Offline
2153,Village,no,yes,no,yes,Online
2154,Village,yes,no,no,yes,Offline
2155,Village,no,yes,yes,no,Online
2156,Town,yes,yes,no,no,Offline
2157,Town,no,yes,yes,no,Online
2158,Village,no,yes,yes,no,Offline
2159,Town,yes,no,no,no,Offline
2160,Village,no,yes,yes,no,Offline
2161,Town,yes,no,yes,yes,Online
2162,Village,yes,no,no,yes,Online
2163,Village,no,yes,no,yes,Online
2164,Town,no,yes,no,yes,Offline
2165,Village,yes,no,yes,no,Offline
2166,Village,no,no,no,yes,Offline
2167,Village,no,no,no,no,Offline
2168,Village,yes,yes,no,no,Offline
2169,Village,no,no,yes,yes,Offline
2170,Village,no,no,yes,yes,Online
2171,Town,yes,no,yes,yes,Online
2172,Town,yes,no,no,no,Online
2173,Village,yes,no,no,yes,Offline
2174,Village,no,no,no,no,Online
2175,Town,no,yes,yes,yes,Online
2176,Village,yes,no,yes,yes,Offline
2177,Town,no,no,no,no,Online
2178,Village,yes,yes,yes,yes,Online
2179,Town,yes,no,no,yes,Offline
2180,Village,no,yes,yes,yes,Offline
2181,Town,no,yes,yes,no,Offline
2182,Village,no,no,no,no,Online
2183,Village,yes,no,no,no,Offline
2184,Town,no,no,no,yes,Offline
2185,Village,yes,no,no,yes,Offline
2186,Town,no,no,no,no,Online
2187,Town,yes,no,yes,no,Offline
2188,Village,yes,no,yes,yes,Offline
2189,Village,no,no,yes,no,Offline
